id,match,date,team_a,team_b,pucking_team,half,minute,score_puck_goals,score_puck_points,score_opp_goals,score_opp_points,score_diff,type,delivery,target_zone,retained,next_action,poss_outcome,t1_team,t1_action,t2_team,t2_action,t3_team,t3_action,shot_outcome,notes
"1","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","1","0","0","0","1","-1","long","T","AL","no","turnover","no-score","A","turnover","B","pass","B","pass","",""
"2","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","3","0","1","0","1","0","long","C","AC","yes","pass","point","A","foul-won","A","shot","A","","point",""
"3","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","4","0","1","0","2","-1","long","B","AR","no","turnover","no-score","A","pass","A","turnover","B","pass","",""
"4","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","4","0","2","0","1","1","long","unknown","AR","yes","pass","no-score","A","turnover","B","pass","B","turnover","",""
"5","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","5","0","1","0","2","-1","long","C","AR","yes","shot","no-score","","","","","","","wide",""
"6","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","6","0","2","0","1","1","long","B","AC","no","turnover","point","B","pass","B","carry","B","shot","point",""
"7","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","7","0","2","0","2","0","long","P","AC","yes","carry","no-score","A","pass","A","turnover","B","pass","",""
"8","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","7","0","2","0","2","0","short","C","DC","yes","carry","no-score","A","pass","A","pass","A","shot","wide",""
"9","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","7","0","2","0","2","0","short","C","DR","yes","launch","no-score","B","shot","B","","B","","short",""
"10","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","8","0","2","0","3","-1","short","C","DC","yes","carry","no-score","B","carry","B","pass","B","shot","wide",""
"11","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","9","0","3","0","2","1","short","C","DR","yes","carry","no-score","A","pass","A","launch","A","pass","",""
"12","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","10","0","2","0","4","-2","medium","B","ML","yes","carry","point","B","launch","B","foul-won","B","shot","point",""
"13","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","11","0","4","0","3","1","long","X","AR","no","turnover","no-score","B","carry","B","shot","B","","wide",""
"14","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","12","0","4","0","3","1","short","C","DC","yes","carry","no-score","A","pass","A","carry","A","shot","wide",""
"15","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","12","0","3","0","4","-1","short","C","DC","yes","launch","point","B","shot","B","","B","","point",""
"16","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","13","0","4","0","4","0","short","C","DC","yes","carry","point","A","foul-won","A","launch","A","carry","",""
"17","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","14","0","4","0","5","-1","long","C","AR","yes","shot","no-score","","","","","","","wide",""
"18","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","15","0","5","0","4","1","medium","C","MR","yes","pass","point","A","pass","A","pass","A","shot","point",""
"19","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","15","0","4","0","6","-2","long","C","AL","yes","pass","point","A","pass","A","pass","A","foul-won","",""
"21","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","17","0","6","0","5","1","long","B","AL","no","turnover","point","B","carry","B","pass","B","turnover","",""
"22","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","17","0","5","0","7","-2","long","X","AL","no","turnover","no-score","A","pass","A","pass","A","launch","",""
"23","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","19","0","7","0","6","1","short","C","DC","yes","pass","point","A","launch","A","foul-won","A","shot","point",""
"24","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","?","0","6","0","8","-2","long","C","AL","yes","pass","no-score","B","pass","B","carry","B","shot","wide",""
"25","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","21","0","8","0","6","2","short","C","DC","yes","pass","no-score","A","launch","A","turnover","B","pass","",""
"26","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","21","0","6","0","9","-3","long","C","AR","yes","carry","point","B","shot","B","","B","","point",""
"27","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","22","0","9","0","7","2","short","C","DL","yes","launch","no-score","A","turnover","B","pass","B","pass","",""
"28","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","23","0","7","0","10","-3","short","C","DC","yes","pass","opp-point","B","turnover","A","carry","A","pass","",""
"29","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","23","0","7","0","11","-4","long","T","AL","no","turnover","no-score","A","pass","A","carry","A","turnover","",""
"30","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","24","0","11","0","8","3","long","B","AR","yes","carry","point","A","pass","A","pass","A","foul-won","",""
"31","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","25","0","8","0","12","-4","short","C","DC","yes","carry","no-score","B","pass","B","pass","B","launch","",""
"32","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","26","0","8","0","13","-5","medium","C","MR","yes","carry","point","B","pass","B","foul-won","B","shot","point",""
"33","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","28","0","13","0","9","4","short","C","DL","yes","launch","opp-point","A","turnover","B","pass","A","carry","",""
"34","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","28","0","13","0","10","3","long","B","AC","yes","carry","point","A","shot","A","","A","","point",""
"35","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","29","0","10","0","14","-4","short","C","DR","yes","pass","point","B","pass","B","carry","B","shot","point",""
"36","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","29","0","14","0","11","3","long","T","AC","no","carry","no-score","B","launch","B","turnover","A","pass","",""
"37","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","30","0","11","0","15","-4","short","C","DL","yes","pass","no-score","B","launch","B","pass","B","shot","wide",""
"38","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","30","0","15","0","11","4","short","C","DL","yes","pass","point","A","carry","A","shot","A","","point",""
"39","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","31","0","11","0","16","-5","short","C","DL","yes","pass","no-score","B","carry","B","launch","B","carry","",""
"40","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","33","0","16","0","12","4","long","B","AL","no","turnover","no-score","B","foul-won","B","shot","B","","short",""
"41","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","35","0","12","0","16","-4","short","C","DC","yes","pass","no-score","B","launch","B","turnover","A","carry","",""
"42","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","36","0","16","0","12","4","medium","C","MC","yes","carry","opp-point","A","pass","A","turnover","B","pass","",""
"43","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","37","0","16","0","13","3","short","C","DC","yes","launch","no-score","A","shot","A","","A","","wide",""
"44","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","1","37","0","13","0","16","-3","short","C","DC","yes","launch","goal","B","turnover","A","carry","A","pass","",""
"45","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","37","0","13","1","16","-6","long","P","AL","yes","carry","point","B","pass","B","carry","B","shot","point",""
"46","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","37","1","16","0","14","5","long","T","AR","no","turnover","opp-point","B","pass","B","pass","B","carry","",""
"47","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","38","1","16","0","15","4","short","C","DL","yes","pass","no-score","A","launch","A","turnover","B","foul-won","",""
"48","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","40","1","16","0","16","3","medium","C","MR","yes","pass","no-score","A","pass","A","shot","A","","wide",""
"49","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","41","1","16","0","16","3","medium","C","ML","yes","pass","no-score","A","turnover","B","pass","B","carry","",""
"50","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","42","1","16","0","17","2","long","T","AC","no","turnover","no-score","B","pass","B","pass","B","carry","",""
"51","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","42","1","16","0","17","2","medium","T","MC","no","turnover","opp-point","B","carry","B","foul-won","B","shot","point",""
"52","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","44","1","16","0","18","1","long","B","AL","no","turnover","no-score","B","carry","B","pass","B","pass","",""
"54","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","45","1","16","0","18","1","short","C","DL","yes","launch","no-score","","","","","","","",""
"55","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","46","1","16","1","18","-2","long","B","AC","yes","carry","point","A","shot","A","","A","","point",""
"56","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","48","1","18","1","17","1","long","C","AL","yes","carry","no-score","B","shot","B","","B","","wide",""
"57","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","48","1","17","1","18","-1","short","C","DC","yes","pass","no-score","A","pass","A","pass","A","pass","",""
"58","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","49","1","18","1","17","1","long","B","AC","no","turnover","point","A","carry","A","turnover","B","pass","",""
"59","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","50","1","17","1","19","-2","long","P","AL","yes","pass","no-score","A","pass","A","shot","A","","wide",""
"60","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","51","1","19","1","17","2","long","B","AR","no","turnover","no-score","A","pass","A","pass","A","turnover","",""
"61","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","53","1","17","1","20","-3","long","B","AL","yes","carry","no-score","A","pass","A","turnover","B","carry","",""
"62","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","55","1","17","2","20","-6","long","T","AC","no","turnover","no-score","B","launch","B","turnover","A","pass","",""
"63","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","57","1","17","2","21","-7","long","P","AL","yes","pass","no-score","A","launch","A","turnover","B","foul-won","",""
"64","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","58","2","21","1","17","7","short","C","DC","yes","launch","point","B","turnover","A","turnover","B","foul-won","",""
"65","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","1","?","1","17","2","22","-8","long","B","AL","yes","pass","no-score","A","turnover","B","carry","A","pass","",""
"66","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","61","1","17","3","22","-11","long","B","AC","no","turnover","opp-point","B","pass","B","pass","B","pass","",""
"67","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","61","1","17","3","23","-12","long","P","AL","yes","carry","no-score","A","carry","A","shot","A","","wide",""
"68","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","62","3","23","1","17","12","short","C","DC","yes","launch","no-score","B","turnover","A","pass","A","pass","",""
"69","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","65","1","17","3","23","-12","short","C","DL","yes","launch","no-score","A","turnover","B","pass","B","pass","",""
"70","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Tipperary","2","66","3","23","1","18","11","long","X","AL","no","turnover","no-score","","","","","","","",""
"71","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","68","1","18","3","24","-12","long","B","AL","no","foul-won","no-score","","","","","","","",""
"72","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","69","1","18","3","25","-13","long","X","AL","no","unknown","no-score","","","","","","","",""
"73","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","73","1","18","3","25","-13","long","T","AL","no","turnover","opp-point","B","pass","B","carry","B","foul-won","",""
"74","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","74","1","18","3","26","-14","long","B","AL","no","turnover","opp-point","B","pass","B","pass","B","shot","point",""
"75","2025_AIHF_CORK_TIPP","2025-07-20","Cork","Tipperary","Cork","2","75","1","18","3","27","-15","long","X","AR","no","unknown","no-score","","","","","","","",""